diameter,closeness,clustering,betweenness,edit count,editor count,article size
31,0.15208274691473542,0.09712462105229473,0.0047659754723799784,3901,1302,66793
55,0.07416129500736977,0.03151342105659001,0.037309395073823554,1450,366,64978
45,0.07889802894668475,0.022271647667885797,0.011946313826696482,2036,1051,59291
31,0.16784502844593224,0.11168530470328372,0.0014663035165289643,10307,3660,139266
53,0.1074379152481462,0.044859077030334836,0.003844979737722608,6186,2364,147382
30,0.12007819061172137,0.03694926524729711,0.005692468436772972,2788,1375,30201
31,0.19857550236310362,0.12618852754532608,0.00621087653413107,3351,750,102220
58,0.11996399089283799,0.04980324072563298,0.006063390742139493,3103,1347,60961
34,0.12264852047836225,0.06957902916883119,0.009114364637109946,1948,832,46287
41,0.12688109498431718,0.0637423878150871,0.030836162462906335,675,262,61486
36,0.1353135878924775,0.03827387009200013,0.0032361928776331915,4548,2100,65148
39,0.12954352961741064,0.04134840838696233,0.00441810818217581,3867,1659,107290
29,0.1488873262026175,0.09238367718828608,0.0023450157578159196,6600,2583,179336
51,0.08978782384479403,0.048713940463047715,0.022663773761641994,1096,505,103791
52,0.13059316117016487,0.09627900721000755,0.007658289658289653,2611,1001,102359
45,0.09049257666420128,0.03837388671203174,0.020058585678132665,1245,553,129516
125,0.04041429930494358,0.03996509507069365,0.07003591461983084,969,427,80274
27,0.15262784569312263,0.041831770122100445,0.0024113906545218215,5751,2438,142737
28,0.15390134245766585,0.09393544741460907,0.008830562772651257,1860,679,77095
23,0.15131452036662385,0.046270058947457345,0.009251803574443117,1512,647,67578
20,0.19984288455045016,0.161535601895079,0.040505789690236875,556,108,28960
43,0.11995295145576215,0.032596874541259604,0.004010948503396768,4228,1992,125068
26,0.13762989497331185,0.040440901736214174,0.006551044786763658,2245,1026,98710
44,0.13992023113522853,0.05902440084445272,0.003031884761547417,5039,2210,183054
38,0.10812479298651184,0.027747517934107135,0.009032985504434604,2079,990,63833
43,0.15250123089302398,0.08513840653007186,0.00492815597422958,3344,1276,70992
31,0.14438652937888263,0.04016485981324921,0.002331821135177181,5453,2682,100397
48,0.15558450711654612,0.052419428878473694,0.0021559925171480226,6256,2710,97951
24,0.1551674670886276,0.0952812663527099,0.013372599069851838,1470,437,52331
56,0.09427667220699824,0.024105818688958235,0.0080359672862739,2564,1321,90515
28,0.14182755533361321,0.05561672928804767,0.011432085625298271,1516,577,57917
44,0.1310712124253384,0.04902654826160041,0.0020381541380718477,8521,3524,116184
39,0.09239307753081441,0.04726018793789878,0.04986347070046957,509,220,51543
44,0.11283856959590066,0.04775094919440176,0.005518529905208919,3472,1549,78421
31,0.14883864203409727,0.0690154489360741,0.002144893787246075,7517,2839,156297
34,0.1406647644208044,0.03855714317427263,0.0031771449661916785,4420,2058,82264
31,0.15230464549288283,0.07183559515395896,0.003940880620900003,5469,1539,104974
53,0.10252346078354053,0.07449599973053334,0.023369569272930612,1771,442,83557
29,0.13238412088861648,0.028591910829967888,0.012570950481347196,1080,561,36047
29,0.13809990155762905,0.04700621622980086,0.008279642907699551,1993,811,61246
38,0.11481119823880326,0.03026674074786173,0.003185490744131889,5878,2549,137456
51,0.11179582570084147,0.05371172130633431,0.004898534837354404,3772,1750,60350
53,0.10283357670003507,0.03740371701966997,0.0034363915483085865,5458,2722,133651
30,0.15069861328238873,0.12340127094290047,0.058804572072937884,382,117,18996
54,0.10119656996281451,0.07245538094002447,0.006790613561412511,3756,1431,145205
18,0.2449637276747952,0.22699408441279315,0.002558228477569796,4923,1303,133405
36,0.12194045864649455,0.05657978429396016,0.008185028473348246,2015,956,79663
31,0.11667610754689442,0.02535281069958505,0.015034762126504243,1240,543,43718
