title,diameter,closeness,clustering,betweenness,edit count,editor count,article size,class
Grand Duchess Anastasia Nikolaevna of Russia,37,0.18099438013840377,0.11424269842022444,0.0027977031086364773,4464,1807,55561,FA
Emmy Noether,30,0.13473050260706798,0.0475887748473658,0.00703040846874946,2509,982,117402,FA
Iridium,38,0.11587419076381571,0.03763119241382511,0.009389185870387796,2106,885,65972,FA
Profumo affair,58,0.051463180381577996,0.01656151031186055,0.04725330771801104,981,415,64621,FA
Charles I of England,33,0.1431022541496576,0.06811627865143624,0.0019439560260188363,7749,3312,116891,FA
Marble Madness,39,0.08967058113406387,0.04995548662856585,0.03064626270264432,730,361,32771,FA
"Mary, Queen of Scots",37,0.15779814054323613,0.08041989788354659,0.0019106985541517188,6761,3034,87446,FA
William Shakespeare,32,0.16050160354949314,0.06065308130355347,0.0013186436818584748,12986,4204,109130,FA
Cirrus cloud,69,0.07612587332628316,0.027640603299816626,0.016757188542648564,1688,824,46543,FA
Mauna Loa,29,0.14045042888308645,0.024662583734363745,0.006134660604556951,2402,1059,81335,FA
Cabbage,62,0.10018501650895213,0.026189181128164256,0.005222151195987461,3571,1900,55119,FA
Jarrow March,72,0.06162079913656691,0.018117130760548914,0.046577865702604124,908,379,72623,FA
Betelgeuse,33,0.13412352734767777,0.05373277351680232,0.005573394830461513,4625,1252,153022,FA
Ursa Minor,44,0.09739431463913163,0.018841811943447306,0.015608945209361647,1308,659,50167,FA
Flag of Japan,50,0.11713121293017574,0.052171083136120816,0.009069640841747615,2565,927,109728,FA
Sonic Adventure,40,0.1130799687298397,0.07417281859301281,0.005284123187095477,4238,1614,83199,FA
Godsmack,54,0.11793848744669322,0.051572348111933716,0.004282423266323173,4558,1903,56826,FA
Common house martin,27,0.14972960062147084,0.06432915985324258,0.030155120115074353,653,209,32989,FA
Tragic Kingdom,42,0.11968065504538392,0.09976373044279213,0.02268998850388034,1133,370,57082,FA
"Oriel College, Oxford",31,0.12371135224450457,0.08058057054155386,0.017343812357754725,1485,444,69406,FA
Huntington's disease,59,0.14294720110358794,0.06629443523461605,0.002668457021482244,6545,2542,122151,FA
Donkey Kong 64,43,0.08371697077310788,0.033352826583901124,0.009777990586567536,2421,1201,59534,FA
Sesame Workshop,48,0.10089649586376082,0.05692585512483792,0.019417704011370576,1222,515,57878,FA
Dhaka,23,0.15332316995917597,0.07099133405255445,0.0028670932832963645,6758,2034,110726,FA
James B. Weaver,42,0.08481540602044402,0.07753885465944464,0.06486518592719591,637,185,59020,FA
Hippocrates,34,0.11702432282733995,0.03034843241553917,0.004156726791962408,3744,1954,46051,FA
Rotavirus,43,0.16945142113816486,0.13045266270186492,0.009712877024818364,2080,602,85511,FA
Guadalcanal campaign,36,0.1464033561714771,0.06780937059576844,0.005552528417113775,3093,1157,143616,FA
Interstate 68,25,0.1762646492841003,0.11199613474448541,0.021050589828881035,677,242,51247,FA
Alpine chough,28,0.13490637359471647,0.08436239947772349,0.03642270629217692,621,198,39343,FA
Uncle Tom's Cabin,62,0.07975840787298065,0.025200637058411857,0.01076638519287875,2340,1184,88089,FA
Wayne Gretzky,32,0.15997379833114192,0.06616332099914977,0.0020898061483466458,6987,2687,156691,FA
Nine Inch Nails,28,0.14499691031933332,0.08108529527413968,0.0017449619114553656,9011,3589,191650,FA
McDonnell Douglas F-4 Phantom II,30,0.20322498886243912,0.16281004540479158,0.0030357998604526723,4186,1421,128052,FA
Gary Cooper,36,0.11792541020223073,0.04949961378542984,0.00801236812074937,2408,999,135938,FA
Thrasybulus,40,0.08918117905125203,0.0384901275031813,0.0729465782678715,313,158,25930,FA
Order of the Garter,36,0.10911833424028884,0.033551058137909075,0.011768919292893565,1849,751,62686,FA
Petrified Forest National Park,36,0.12407897686066709,0.03185930747057647,0.021029720004014277,1038,375,59972,FA
George IV of the United Kingdom,30,0.15826461178537873,0.08743594208229105,0.006208035077793318,2144,958,57473,FA
Diocletian,31,0.12374046364439246,0.03586079699038523,0.0058206553218347265,3337,1306,123843,FA
